StartOrder;WS01;OR03326;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR04872;P00236;
PickOrder;WS01;OR04872;P00351;
PickOrder;WS01;OR04872;P00253;
PickOrder;WS01;OR04872;P00351;
PickOrder;WS01;OR04872;P00253;
PickOrder;WS01;OR04872;P00057;
StartOrder;WS01;OR04585;
PickOrder;WS01;OR04585;P00351;
PickOrder;WS01;OR04585;P00236;
PickOrder;WS01;OR04585;P00253;
PickOrder;WS01;OR04585;P00236;
PickOrder;WS01;OR04585;P00351;
PickOrder;WS01;OR04585;P00057;
StartOrder;WS01;OR03417;
PickOrder;WS01;OR03417;P00253;
PickOrder;WS01;OR03417;P00057;
PickOrder;WS01;OR03417;P00236;
PickOrder;WS01;OR03417;P00236;
PickOrder;WS01;OR03417;P00057;
PickOrder;WS01;OR03417;P00057;
PickOrder;WS01;OR03417;P00253;
RemoveProduct;WS01;P00351;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR03417;P00206;
PickOrder;WS01;OR03417;P00206;
PickOrder;WS01;OR06568;P00206;
PickOrder;WS01;OR06568;P00206;
StartOrder;WS01;OR05353;
PickOrder;WS01;OR05353;P00206;
PickOrder;WS01;OR05353;P00236;
PickOrder;WS01;OR05353;P00236;
PickOrder;WS01;OR05353;P00057;
PickOrder;WS01;OR05353;P00253;
PickOrder;WS01;OR05353;P00057;
StartOrder;WS01;OR10000;
PickOrder;WS01;OR10000;P00057;
PickOrder;WS01;OR10000;P00206;
PickOrder;WS01;OR10000;P00206;
PickOrder;WS01;OR10000;P00206;
PickOrder;WS01;OR10000;P00236;
PickOrder;WS01;OR10000;P00057;
PickOrder;WS01;OR10000;P00236;
PickOrder;WS01;OR10000;P00253;
PickOrder;WS01;OR10000;P00057;
StartOrder;WS01;OR06543;
PickOrder;WS01;OR06543;P00236;
PickOrder;WS01;OR06543;P00206;
PickOrder;WS01;OR06543;P00206;
PickOrder;WS01;OR06543;P00057;
PickOrder;WS01;OR06543;P00253;
PickOrder;WS01;OR06543;P00236;
StartOrder;WS01;OR07433;
PickOrder;WS01;OR07433;P00253;
PickOrder;WS01;OR07433;P00236;
PickOrder;WS01;OR07433;P00057;
PickOrder;WS01;OR07433;P00057;
PickOrder;WS01;OR07433;P00236;
PickOrder;WS01;OR07433;P00236;
PickOrder;WS01;OR07433;P00206;
PickOrder;WS01;OR07433;P00057;
StartOrder;WS01;OR02457;
PickOrder;WS01;OR02457;P00253;
PickOrder;WS01;OR02457;P00057;
PickOrder;WS01;OR02457;P00253;
PickOrder;WS01;OR02457;P00206;
PickOrder;WS01;OR02457;P00236;
PickOrder;WS01;OR02457;P00057;
PickOrder;WS01;OR02457;P00236;
PickOrder;WS01;OR02457;P00206;
StartOrder;WS01;OR02866;
PickOrder;WS01;OR02866;P00253;
PickOrder;WS01;OR02866;P00253;
PickOrder;WS01;OR02866;P00206;
PickOrder;WS01;OR02866;P00236;
PickOrder;WS01;OR02866;P00206;
PickOrder;WS01;OR02866;P00206;
PickOrder;WS01;OR02866;P00057;
PickOrder;WS01;OR02866;P00057;
StartOrder;WS01;OR03092;
PickOrder;WS01;OR03092;P00057;
PickOrder;WS01;OR03092;P00253;
PickOrder;WS01;OR03092;P00253;
PickOrder;WS01;OR03092;P00206;
PickOrder;WS01;OR03092;P00057;
PickOrder;WS01;OR03092;P00057;
PickOrder;WS01;OR03092;P00236;
StartOrder;WS01;OR09318;
PickOrder;WS01;OR09318;P00253;
PickOrder;WS01;OR09318;P00206;
PickOrder;WS01;OR09318;P00057;
PickOrder;WS01;OR09318;P00236;
PickOrder;WS01;OR09318;P00206;
PickOrder;WS01;OR09318;P00206;
StartOrder;WS01;OR06601;
PickOrder;WS01;OR06601;P00057;
PickOrder;WS01;OR06601;P00057;
PickOrder;WS01;OR06601;P00236;
PickOrder;WS01;OR06601;P00253;
PickOrder;WS01;OR06601;P00057;
PickOrder;WS01;OR06601;P00206;
PickOrder;WS01;OR06601;P00206;
StartOrder;WS01;OR05247;
PickOrder;WS01;OR05247;P00236;
PickOrder;WS01;OR05247;P00236;
PickOrder;WS01;OR05247;P00057;
PickOrder;WS01;OR05247;P00253;
PickOrder;WS01;OR05247;P00206;
PickOrder;WS01;OR05247;P00057;
PickOrder;WS01;OR05247;P00253;
PickOrder;WS01;OR05247;P00253;
StartOrder;WS01;OR00354;
PickOrder;WS01;OR00354;P00057;
PickOrder;WS01;OR00354;P00057;
PickOrder;WS01;OR00354;P00206;
PickOrder;WS01;OR00354;P00236;
PickOrder;WS01;OR00354;P00206;
PickOrder;WS01;OR00354;P00057;
PickOrder;WS01;OR00354;P00253;
StartOrder;WS01;OR08086;
PickOrder;WS01;OR08086;P00236;
PickOrder;WS01;OR08086;P00253;
PickOrder;WS01;OR08086;P00057;
PickOrder;WS01;OR08086;P00206;
PickOrder;WS01;OR08086;P00206;
PickOrder;WS01;OR08086;P00253;
PickOrder;WS01;OR08086;P00236;
PickOrder;WS01;OR08086;P00236;
PickOrder;WS01;OR08086;P00206;
PickOrder;WS01;OR08086;P00057;
StartOrder;WS01;OR09772;
PickOrder;WS01;OR09772;P00206;
PickOrder;WS01;OR09772;P00236;
PickOrder;WS01;OR09772;P00057;
PickOrder;WS01;OR09772;P00206;
PickOrder;WS01;OR09772;P00057;
PickOrder;WS01;OR09772;P00206;
PickOrder;WS01;OR09772;P00236;
PickOrder;WS01;OR09772;P00236;
PickOrder;WS01;OR09772;P00206;
PickOrder;WS01;OR09772;P00253;
StartOrder;WS01;OR07962;
PickOrder;WS01;OR07962;P00253;
PickOrder;WS01;OR07962;P00206;
PickOrder;WS01;OR07962;P00057;
PickOrder;WS01;OR07962;P00253;
PickOrder;WS01;OR07962;P00236;
StartOrder;WS01;OR07790;
PickOrder;WS01;OR07790;P00236;
PickOrder;WS01;OR07790;P00057;
PickOrder;WS01;OR07790;P00057;
PickOrder;WS01;OR07790;P00057;
PickOrder;WS01;OR07790;P00253;
PickOrder;WS01;OR07790;P00206;
StartOrder;WS01;OR01998;
PickOrder;WS01;OR01998;P00236;
PickOrder;WS01;OR01998;P00253;
PickOrder;WS01;OR01998;P00253;
PickOrder;WS01;OR01998;P00057;
PickOrder;WS01;OR01998;P00236;
RemoveProduct;WS01;P00206;
AssignProduct;WS01;P00287;
PickOrder;WS01;OR07790;P00287;
PickOrder;WS01;OR07790;P00287;
StartOrder;WS01;OR02651;
PickOrder;WS01;OR02651;P00057;
PickOrder;WS01;OR02651;P00236;
PickOrder;WS01;OR02651;P00253;
PickOrder;WS01;OR02651;P00236;
PickOrder;WS01;OR02651;P00253;
RemoveProduct;WS01;P00287;
AssignProduct;WS01;P00436;
PickOrder;WS01;OR02651;P00436;
PickOrder;WS01;OR07212;P00436;
PickOrder;WS01;OR07212;P00436;
PickOrder;WS01;OR07212;P00436;
PickOrder;WS01;OR05801;P00436;
StartOrder;WS01;OR07749;
PickOrder;WS01;OR07749;P00436;
PickOrder;WS01;OR07749;P00253;
PickOrder;WS01;OR07749;P00057;
PickOrder;WS01;OR07749;P00236;
PickOrder;WS01;OR07749;P00253;
PickOrder;WS01;OR07749;P00057;
PickOrder;WS01;OR07749;P00436;
PickOrder;WS01;OR07749;P00236;
StartOrder;WS01;OR07070;
PickOrder;WS01;OR07070;P00057;
PickOrder;WS01;OR07070;P00253;
PickOrder;WS01;OR07070;P00236;
PickOrder;WS01;OR07070;P00253;
PickOrder;WS01;OR07070;P00236;
PickOrder;WS01;OR07070;P00057;
PickOrder;WS01;OR07070;P00057;
PickOrder;WS01;OR07070;P00436;
PickOrder;WS01;OR07070;P00253;
StartOrder;WS01;OR09105;
PickOrder;WS01;OR09105;P00253;
PickOrder;WS01;OR09105;P00057;
PickOrder;WS01;OR09105;P00436;
PickOrder;WS01;OR09105;P00057;
PickOrder;WS01;OR09105;P00253;
PickOrder;WS01;OR09105;P00236;
PickOrder;WS01;OR09105;P00436;
PickOrder;WS01;OR09105;P00253;
StartOrder;WS01;OR04322;
PickOrder;WS01;OR04322;P00236;
PickOrder;WS01;OR04322;P00057;
PickOrder;WS01;OR04322;P00253;
PickOrder;WS01;OR04322;P00057;
PickOrder;WS01;OR04322;P00057;
PickOrder;WS01;OR04322;P00436;
PickOrder;WS01;OR04322;P00253;
PickOrder;WS01;OR04322;P00436;
PickOrder;WS01;OR04322;P00253;
StartOrder;WS01;OR04295;
PickOrder;WS01;OR04295;P00253;
PickOrder;WS01;OR04295;P00236;
PickOrder;WS01;OR04295;P00436;
PickOrder;WS01;OR04295;P00057;
PickOrder;WS01;OR04295;P00253;
PickOrder;WS01;OR04295;P00057;
PickOrder;WS01;OR04295;P00436;
StartOrder;WS01;OR05188;
PickOrder;WS01;OR05188;P00057;
PickOrder;WS01;OR05188;P00236;
PickOrder;WS01;OR05188;P00057;
PickOrder;WS01;OR05188;P00236;
PickOrder;WS01;OR05188;P00057;
PickOrder;WS01;OR05188;P00253;
PickOrder;WS01;OR05188;P00436;
StartOrder;WS01;OR05440;
PickOrder;WS01;OR05440;P00236;
PickOrder;WS01;OR05440;P00436;
PickOrder;WS01;OR05440;P00057;
PickOrder;WS01;OR05440;P00236;
PickOrder;WS01;OR05440;P00436;
PickOrder;WS01;OR05440;P00253;
PickOrder;WS01;OR05440;P00436;
StartOrder;WS01;OR00112;
PickOrder;WS01;OR00112;P00057;
PickOrder;WS01;OR00112;P00436;
PickOrder;WS01;OR00112;P00253;
PickOrder;WS01;OR00112;P00057;
PickOrder;WS01;OR00112;P00236;
PickOrder;WS01;OR00112;P00436;
PickOrder;WS01;OR00112;P00236;
PickOrder;WS01;OR00112;P00236;
StartOrder;WS01;OR02097;
PickOrder;WS01;OR02097;P00436;
PickOrder;WS01;OR02097;P00236;
PickOrder;WS01;OR02097;P00436;
PickOrder;WS01;OR02097;P00057;
PickOrder;WS01;OR02097;P00236;
PickOrder;WS01;OR02097;P00436;
PickOrder;WS01;OR02097;P00057;
PickOrder;WS01;OR02097;P00253;
PickOrder;WS01;OR02097;P00236;
StartOrder;WS01;OR03612;
PickOrder;WS01;OR03612;P00236;
PickOrder;WS01;OR03612;P00253;
PickOrder;WS01;OR03612;P00057;
PickOrder;WS01;OR03612;P00057;
PickOrder;WS01;OR03612;P00236;
PickOrder;WS01;OR03612;P00253;
PickOrder;WS01;OR03612;P00436;
PickOrder;WS01;OR03612;P00057;
StartOrder;WS01;OR07308;
PickOrder;WS01;OR07308;P00436;
PickOrder;WS01;OR07308;P00057;
PickOrder;WS01;OR07308;P00236;
PickOrder;WS01;OR07308;P00253;
PickOrder;WS01;OR07308;P00057;
StartOrder;WS01;OR02004;
PickOrder;WS01;OR02004;P00236;
PickOrder;WS01;OR02004;P00057;
PickOrder;WS01;OR02004;P00436;
PickOrder;WS01;OR02004;P00436;
PickOrder;WS01;OR02004;P00253;
PickOrder;WS01;OR02004;P00236;
PickOrder;WS01;OR02004;P00253;
StartOrder;WS01;OR09418;
PickOrder;WS01;OR09418;P00436;
PickOrder;WS01;OR09418;P00253;
PickOrder;WS01;OR09418;P00057;
PickOrder;WS01;OR09418;P00236;
PickOrder;WS01;OR09418;P00236;
PickOrder;WS01;OR09418;P00436;
StartOrder;WS01;OR04163;
PickOrder;WS01;OR04163;P00057;
PickOrder;WS01;OR04163;P00253;
PickOrder;WS01;OR04163;P00436;
PickOrder;WS01;OR04163;P00236;
PickOrder;WS01;OR04163;P00057;
StartOrder;WS01;OR02699;
PickOrder;WS01;OR02699;P00253;
PickOrder;WS01;OR02699;P00236;
PickOrder;WS01;OR02699;P00253;
PickOrder;WS01;OR02699;P00057;
PickOrder;WS01;OR02699;P00057;
PickOrder;WS01;OR02699;P00253;
PickOrder;WS01;OR02699;P00236;
PickOrder;WS01;OR02699;P00436;
StartOrder;WS01;OR05327;
PickOrder;WS01;OR05327;P00436;
PickOrder;WS01;OR05327;P00236;
PickOrder;WS01;OR05327;P00057;
PickOrder;WS01;OR05327;P00253;
PickOrder;WS01;OR05327;P00436;
PickOrder;WS01;OR05327;P00253;
StartOrder;WS01;OR05745;
PickOrder;WS01;OR05745;P00253;
PickOrder;WS01;OR05745;P00253;
PickOrder;WS01;OR05745;P00253;
PickOrder;WS01;OR05745;P00236;
PickOrder;WS01;OR05745;P00436;
PickOrder;WS01;OR05745;P00236;
PickOrder;WS01;OR05745;P00057;
PickOrder;WS01;OR05745;P00236;
StartOrder;WS01;OR02650;
PickOrder;WS01;OR02650;P00436;
PickOrder;WS01;OR02650;P00436;
PickOrder;WS01;OR02650;P00236;
PickOrder;WS01;OR02650;P00057;
PickOrder;WS01;OR02650;P00253;
PickOrder;WS01;OR02650;P00057;
StartOrder;WS01;OR08463;
PickOrder;WS01;OR08463;P00436;
PickOrder;WS01;OR08463;P00253;
PickOrder;WS01;OR08463;P00253;
PickOrder;WS01;OR08463;P00253;
PickOrder;WS01;OR08463;P00236;
PickOrder;WS01;OR08463;P00057;
PickOrder;WS01;OR08463;P00057;
PickOrder;WS01;OR08463;P00236;
PickOrder;WS01;OR08463;P00436;
StartOrder;WS01;OR06853;
PickOrder;WS01;OR06853;P00236;
PickOrder;WS01;OR06853;P00253;
PickOrder;WS01;OR06853;P00057;
PickOrder;WS01;OR06853;P00057;
PickOrder;WS01;OR06853;P00253;
PickOrder;WS01;OR06853;P00236;
StartOrder;WS01;OR08898;
PickOrder;WS01;OR08898;P00057;
PickOrder;WS01;OR08898;P00253;
PickOrder;WS01;OR08898;P00236;
RemoveProduct;WS01;P00436;
AssignProduct;WS01;P00487;
PickOrder;WS01;OR08463;P00487;
StartOrder;WS01;OR07676;
PickOrder;WS01;OR07676;P00253;
PickOrder;WS01;OR07676;P00057;
PickOrder;WS01;OR07676;P00236;
PickOrder;WS01;OR07676;P00253;
PickOrder;WS01;OR07676;P00253;
RemoveProduct;WS01;P00487;
AssignProduct;WS01;P00186;
PickOrder;WS01;OR07676;P00186;
PickOrder;WS01;OR06853;P00186;
PickOrder;WS01;OR06853;P00186;
PickOrder;WS01;OR01998;P00186;
PickOrder;WS01;OR01998;P00186;
StartOrder;WS01;OR09924;
PickOrder;WS01;OR09924;P00186;
PickOrder;WS01;OR09924;P00236;
PickOrder;WS01;OR09924;P00057;
PickOrder;WS01;OR09924;P00186;
PickOrder;WS01;OR09924;P00236;
PickOrder;WS01;OR09924;P00186;
PickOrder;WS01;OR09924;P00057;
PickOrder;WS01;OR09924;P00253;
StartOrder;WS01;OR09201;
PickOrder;WS01;OR09201;P00186;
PickOrder;WS01;OR09201;P00057;
PickOrder;WS01;OR09201;P00186;
PickOrder;WS01;OR09201;P00057;
PickOrder;WS01;OR09201;P00186;
PickOrder;WS01;OR09201;P00236;
PickOrder;WS01;OR09201;P00253;
PickOrder;WS01;OR09201;P00236;
PickOrder;WS01;OR09201;P00253;
PickOrder;WS01;OR09201;P00057;
StartOrder;WS01;OR01726;
PickOrder;WS01;OR01726;P00236;
PickOrder;WS01;OR01726;P00253;
PickOrder;WS01;OR01726;P00253;
PickOrder;WS01;OR01726;P00057;
PickOrder;WS01;OR01726;P00057;
PickOrder;WS01;OR01726;P00186;
PickOrder;WS01;OR01726;P00236;
PickOrder;WS01;OR01726;P00186;
StartOrder;WS01;OR09914;
PickOrder;WS01;OR09914;P00236;
PickOrder;WS01;OR09914;P00253;
PickOrder;WS01;OR09914;P00057;
PickOrder;WS01;OR09914;P00057;
PickOrder;WS01;OR09914;P00186;
PickOrder;WS01;OR09914;P00253;
StartOrder;WS01;OR03130;
PickOrder;WS01;OR03130;P00186;
PickOrder;WS01;OR03130;P00236;
PickOrder;WS01;OR03130;P00236;
PickOrder;WS01;OR03130;P00186;
PickOrder;WS01;OR03130;P00236;
PickOrder;WS01;OR03130;P00253;
PickOrder;WS01;OR03130;P00057;
PickOrder;WS01;OR03130;P00253;
PickOrder;WS01;OR03130;P00057;
StartOrder;WS01;OR02027;
PickOrder;WS01;OR02027;P00186;
PickOrder;WS01;OR02027;P00253;
PickOrder;WS01;OR02027;P00236;
PickOrder;WS01;OR02027;P00057;
PickOrder;WS01;OR02027;P00186;
PickOrder;WS01;OR02027;P00253;
PickOrder;WS01;OR02027;P00236;
PickOrder;WS01;OR02027;P00186;
PickOrder;WS01;OR02027;P00057;
PickOrder;WS01;OR02027;P00236;
PickOrder;WS01;OR02027;P00253;
StartOrder;WS01;OR01633;
PickOrder;WS01;OR01633;P00186;
PickOrder;WS01;OR01633;P00253;
PickOrder;WS01;OR01633;P00186;
PickOrder;WS01;OR01633;P00057;
PickOrder;WS01;OR01633;P00236;
PickOrder;WS01;OR01633;P00236;
StartOrder;WS01;OR01953;
PickOrder;WS01;OR01953;P00186;
PickOrder;WS01;OR01953;P00057;
PickOrder;WS01;OR01953;P00236;
PickOrder;WS01;OR01953;P00253;
PickOrder;WS01;OR01953;P00236;
StartOrder;WS01;OR06554;
PickOrder;WS01;OR06554;P00236;
PickOrder;WS01;OR06554;P00057;
PickOrder;WS01;OR06554;P00186;
PickOrder;WS01;OR06554;P00186;
PickOrder;WS01;OR06554;P00253;
PickOrder;WS01;OR06554;P00253;
StartOrder;WS01;OR01446;
PickOrder;WS01;OR01446;P00057;
PickOrder;WS01;OR01446;P00186;
PickOrder;WS01;OR01446;P00236;
PickOrder;WS01;OR01446;P00253;
PickOrder;WS01;OR01446;P00236;
PickOrder;WS01;OR01446;P00057;
StartOrder;WS01;OR04633;
PickOrder;WS01;OR04633;P00186;
PickOrder;WS01;OR04633;P00236;
PickOrder;WS01;OR04633;P00253;
PickOrder;WS01;OR04633;P00057;
PickOrder;WS01;OR04633;P00057;
PickOrder;WS01;OR04633;P00253;
PickOrder;WS01;OR04633;P00186;
StartOrder;WS01;OR07538;
PickOrder;WS01;OR07538;P00186;
PickOrder;WS01;OR07538;P00186;
PickOrder;WS01;OR07538;P00236;
PickOrder;WS01;OR07538;P00236;
PickOrder;WS01;OR07538;P00057;
PickOrder;WS01;OR07538;P00186;
PickOrder;WS01;OR07538;P00253;
PickOrder;WS01;OR07538;P00253;
PickOrder;WS01;OR07538;P00057;
StartOrder;WS01;OR01295;
PickOrder;WS01;OR01295;P00253;
PickOrder;WS01;OR01295;P00236;
PickOrder;WS01;OR01295;P00236;
PickOrder;WS01;OR01295;P00057;
PickOrder;WS01;OR01295;P00057;
PickOrder;WS01;OR01295;P00186;
PickOrder;WS01;OR01295;P00236;
PickOrder;WS01;OR01295;P00186;
PickOrder;WS01;OR01295;P00057;
PickOrder;WS01;OR01295;P00253;
StartOrder;WS01;OR07434;
PickOrder;WS01;OR07434;P00186;
PickOrder;WS01;OR07434;P00236;
PickOrder;WS01;OR07434;P00186;
PickOrder;WS01;OR07434;P00253;
PickOrder;WS01;OR07434;P00186;
PickOrder;WS01;OR07434;P00057;
StartOrder;WS01;OR03042;
PickOrder;WS01;OR03042;P00253;
PickOrder;WS01;OR03042;P00186;
PickOrder;WS01;OR03042;P00057;
PickOrder;WS01;OR03042;P00057;
PickOrder;WS01;OR03042;P00236;
PickOrder;WS01;OR03042;P00253;
PickOrder;WS01;OR03042;P00186;
PickOrder;WS01;OR03042;P00253;
StartOrder;WS01;OR04376;
PickOrder;WS01;OR04376;P00186;
PickOrder;WS01;OR04376;P00236;
PickOrder;WS01;OR04376;P00057;
PickOrder;WS01;OR04376;P00236;
PickOrder;WS01;OR04376;P00186;
PickOrder;WS01;OR04376;P00253;
PickOrder;WS01;OR04376;P00253;
PickOrder;WS01;OR04376;P00186;
StartOrder;WS01;OR03148;
PickOrder;WS01;OR03148;P00236;
PickOrder;WS01;OR03148;P00186;
PickOrder;WS01;OR03148;P00057;
PickOrder;WS01;OR03148;P00253;
PickOrder;WS01;OR03148;P00236;
StartOrder;WS01;OR02223;
PickOrder;WS01;OR02223;P00057;
PickOrder;WS01;OR02223;P00253;
PickOrder;WS01;OR02223;P00236;
PickOrder;WS01;OR02223;P00253;
PickOrder;WS01;OR02223;P00057;
PickOrder;WS01;OR02223;P00186;
PickOrder;WS01;OR02223;P00186;
PickOrder;WS01;OR02223;P00236;
PickOrder;WS01;OR02223;P00253;
StartOrder;WS01;OR06281;
PickOrder;WS01;OR06281;P00253;
PickOrder;WS01;OR06281;P00253;
PickOrder;WS01;OR06281;P00186;
PickOrder;WS01;OR06281;P00057;
PickOrder;WS01;OR06281;P00236;
StartOrder;WS01;OR07604;
PickOrder;WS01;OR07604;P00057;
PickOrder;WS01;OR07604;P00236;
PickOrder;WS01;OR07604;P00186;
PickOrder;WS01;OR07604;P00057;
PickOrder;WS01;OR07604;P00253;
PickOrder;WS01;OR07604;P00057;
StartOrder;WS01;OR07679;
PickOrder;WS01;OR07679;P00186;
PickOrder;WS01;OR07679;P00253;
PickOrder;WS01;OR07679;P00253;
PickOrder;WS01;OR07679;P00186;
PickOrder;WS01;OR07679;P00253;
PickOrder;WS01;OR07679;P00236;
PickOrder;WS01;OR07679;P00236;
PickOrder;WS01;OR07679;P00057;
StartOrder;WS01;OR02304;
PickOrder;WS01;OR02304;P00236;
PickOrder;WS01;OR02304;P00057;
PickOrder;WS01;OR02304;P00057;
PickOrder;WS01;OR02304;P00253;
PickOrder;WS01;OR02304;P00236;
PickOrder;WS01;OR02304;P00186;
PickOrder;WS01;OR02304;P00236;
PickOrder;WS01;OR02304;P00253;
PickOrder;WS01;OR02304;P00057;
StartOrder;WS01;OR04811;
PickOrder;WS01;OR04811;P00057;
PickOrder;WS01;OR04811;P00236;
PickOrder;WS01;OR04811;P00253;
PickOrder;WS01;OR04811;P00236;
RemoveProduct;WS01;P00186;
AssignProduct;WS01;P00420;
PickOrder;WS01;OR04811;P00420;
PickOrder;WS01;OR04811;P00420;
PickOrder;WS01;OR04811;P00420;
StartOrder;WS01;OR01940;
PickOrder;WS01;OR01940;P00253;
PickOrder;WS01;OR01940;P00057;
PickOrder;WS01;OR01940;P00253;
PickOrder;WS01;OR01940;P00236;
PickOrder;WS01;OR01940;P00236;
PickOrder;WS01;OR01940;P00057;
RemoveProduct;WS01;P00420;
AssignProduct;WS01;P00336;
PickOrder;WS01;OR02304;P00336;
PickOrder;WS01;OR02304;P00336;
StartOrder;WS01;OR08384;
PickOrder;WS01;OR08384;P00253;
PickOrder;WS01;OR08384;P00236;
PickOrder;WS01;OR08384;P00057;
PickOrder;WS01;OR08384;P00253;
PickOrder;WS01;OR08384;P00253;
RemoveProduct;WS01;P00336;
AssignProduct;WS01;P00447;
PickOrder;WS01;OR08384;P00447;
PickOrder;WS01;OR01940;P00447;
PickOrder;WS01;OR08898;P00447;
StartOrder;WS01;OR07459;
PickOrder;WS01;OR07459;P00253;
PickOrder;WS01;OR07459;P00236;
PickOrder;WS01;OR07459;P00253;
PickOrder;WS01;OR07459;P00253;
PickOrder;WS01;OR07459;P00057;
PickOrder;WS01;OR07459;P00447;
StartOrder;WS01;OR08083;
PickOrder;WS01;OR08083;P00253;
PickOrder;WS01;OR08083;P00253;
PickOrder;WS01;OR08083;P00236;
PickOrder;WS01;OR08083;P00236;
PickOrder;WS01;OR08083;P00057;
PickOrder;WS01;OR08083;P00236;
PickOrder;WS01;OR08083;P00253;
PickOrder;WS01;OR08083;P00447;
PickOrder;WS01;OR08083;P00057;
StartOrder;WS01;OR08929;
PickOrder;WS01;OR08929;P00236;
PickOrder;WS01;OR08929;P00057;
PickOrder;WS01;OR08929;P00236;
PickOrder;WS01;OR08929;P00447;
PickOrder;WS01;OR08929;P00057;
PickOrder;WS01;OR08929;P00253;
StartOrder;WS01;OR08408;
PickOrder;WS01;OR08408;P00236;
PickOrder;WS01;OR08408;P00253;
PickOrder;WS01;OR08408;P00253;
PickOrder;WS01;OR08408;P00253;
PickOrder;WS01;OR08408;P00447;
PickOrder;WS01;OR08408;P00057;
StartOrder;WS01;OR00753;
PickOrder;WS01;OR00753;P00253;
PickOrder;WS01;OR00753;P00447;
PickOrder;WS01;OR00753;P00057;
PickOrder;WS01;OR00753;P00253;
PickOrder;WS01;OR00753;P00253;
PickOrder;WS01;OR00753;P00236;
StartOrder;WS01;OR02531;
PickOrder;WS01;OR02531;P00447;
PickOrder;WS01;OR02531;P00253;
PickOrder;WS01;OR02531;P00253;
PickOrder;WS01;OR02531;P00236;
PickOrder;WS01;OR02531;P00057;
StartOrder;WS01;OR04639;
PickOrder;WS01;OR04639;P00447;
PickOrder;WS01;OR04639;P00253;
PickOrder;WS01;OR04639;P00057;
PickOrder;WS01;OR04639;P00236;
StartOrder;WS01;OR00895;
PickOrder;WS01;OR00895;P00057;
PickOrder;WS01;OR00895;P00057;
PickOrder;WS01;OR00895;P00253;
PickOrder;WS01;OR00895;P00236;
PickOrder;WS01;OR00895;P00253;
PickOrder;WS01;OR00895;P00447;
StartOrder;WS01;OR06301;
PickOrder;WS01;OR06301;P00057;
PickOrder;WS01;OR06301;P00236;
PickOrder;WS01;OR06301;P00236;
PickOrder;WS01;OR06301;P00057;
PickOrder;WS01;OR06301;P00447;
PickOrder;WS01;OR06301;P00253;
PickOrder;WS01;OR06301;P00057;
StartOrder;WS01;OR03270;
PickOrder;WS01;OR03270;P00447;
PickOrder;WS01;OR03270;P00253;
PickOrder;WS01;OR03270;P00236;
PickOrder;WS01;OR03270;P00057;
StartOrder;WS01;OR01812;
PickOrder;WS01;OR01812;P00236;
PickOrder;WS01;OR01812;P00236;
PickOrder;WS01;OR01812;P00447;
PickOrder;WS01;OR01812;P00057;
PickOrder;WS01;OR01812;P00253;
PickOrder;WS01;OR01812;P00057;
StartOrder;WS01;OR07966;
PickOrder;WS01;OR07966;P00253;
PickOrder;WS01;OR07966;P00253;
PickOrder;WS01;OR07966;P00447;
PickOrder;WS01;OR07966;P00253;
PickOrder;WS01;OR07966;P00236;
PickOrder;WS01;OR07966;P00057;
StartOrder;WS01;OR04097;
PickOrder;WS01;OR04097;P00253;
PickOrder;WS01;OR04097;P00253;
PickOrder;WS01;OR04097;P00057;
PickOrder;WS01;OR04097;P00236;
PickOrder;WS01;OR04097;P00447;
PickOrder;WS01;OR04097;P00057;
PickOrder;WS01;OR04097;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00187;
PickOrder;WS01;OR01812;P00187;
StartOrder;WS01;OR06757;
PickOrder;WS01;OR06757;P00187;
PickOrder;WS01;OR06757;P00236;
PickOrder;WS01;OR06757;P00236;
PickOrder;WS01;OR06757;P00253;
RemoveProduct;WS01;P00187;
AssignProduct;WS01;P00165;
PickOrder;WS01;OR07966;P00165;
StartOrder;WS01;OR00497;
PickOrder;WS01;OR00497;P00447;
PickOrder;WS01;OR00497;P00253;
PickOrder;WS01;OR00497;P00236;
PickOrder;WS01;OR00497;P00236;
RemoveProduct;WS01;P00165;
AssignProduct;WS01;P00057;
PickOrder;WS01;OR06757;P00057;
PickOrder;WS01;OR06757;P00057;
PickOrder;WS01;OR00497;P00057;
PickOrder;WS01;OR00497;P00057;
PickOrder;WS01;OR00497;P00057;
StartOrder;WS01;OR08807;
PickOrder;WS01;OR08807;P00447;
PickOrder;WS01;OR08807;P00236;
PickOrder;WS01;OR08807;P00057;
PickOrder;WS01;OR08807;P00236;
PickOrder;WS01;OR08807;P00253;
PickOrder;WS01;OR08807;P00057;
PickOrder;WS01;OR08807;P00057;
RemoveProduct;WS01;P00057;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR00497;P00206;
PickOrder;WS01;OR04097;P00206;
StartOrder;WS01;OR00627;
PickOrder;WS01;OR00627;P00206;
PickOrder;WS01;OR00627;P00447;
PickOrder;WS01;OR00627;P00253;
PickOrder;WS01;OR00627;P00253;
PickOrder;WS01;OR00627;P00253;
PickOrder;WS01;OR00627;P00236;
StartOrder;WS01;OR05676;
PickOrder;WS01;OR05676;P00253;
PickOrder;WS01;OR05676;P00253;
PickOrder;WS01;OR05676;P00236;
PickOrder;WS01;OR05676;P00447;
